PRICE,SQ FT,BEDS,BATHS,STREET ADDRESS,CITY & ZIP,PHONE
"$629,000",—,7,4,2852 N Lawndale Ave,"Chicago, IL 60618",(773) 692-0012
"$196,000",—,1,1,4334 N Clarendon Ave #207,"Chicago, IL 60613",(312) 878-2640
"$650,000","2,152",3,2.5,1040 W Polk St Unit 3B,"Chicago, IL 60607",(312) 997-5092
"$495,000","1,900",3,2,1857 N Sawyer Ave Unit A,"Chicago, IL 60647",(312) 997-5092
"$229,900","1,456",4,2,2419 S Troy St,"Chicago, IL 60623",(312) 471-0549
"$599,900","1,200",2,2,1345 W Huron St #3,"Chicago, IL 60642",(312) 997-5092
"$495,000","1,400",2,2,737 W Washington Blvd #2504,"Chicago, IL 60661",(312) 997-5092
"$259,000","1,100",2,2,6451 N Northwest Hwy Unit 3C,"Chicago, IL 60631",(847) 440-3706
"$475,000","1,500",2,2,2509 W Fullerton Ave #4,"Chicago, IL 60647",(312) 997-5092
"$299,999","1,824",4,1,1708 N McVicker Ave,"Chicago, IL 60639",(312) 616-5409
"$475,000","1,221",2,2,195 N Harbor Dr #4001,"Chicago, IL 60601",(773) 786-9070
"$695,000",—,2,2,1424 W Walton St #3,"Chicago, IL 60642",(312) 997-5092
"$350,000","1,000",1,1,2654 W Medill Ave #104,"Chicago, IL 60647",(312) 997-5092
"$275,000",—,3,2,949 N Karlov Ave,"Chicago, IL 60651",(312) 997-5092
"$420,000","1,248",2,2,100 E 14th St #1807,"Chicago, IL 60605",(773) 786-9070
"$409,900","1,650",3,2,1601 S State St Unit 6E,"Chicago, IL 60616",(773) 786-9070
"$445,000","1,400",2,2,125 E 13th St #1104,"Chicago, IL 60605",(773) 786-9070
"$450,000","1,200",2,2,421 W Huron St #1305,"Chicago, IL 60654",(312) 878-2640
"$369,000","1,357",2,2,1111 S Wabash Ave #1401,"Chicago, IL 60605",(773) 786-9070
"$384,900",—,5,2,3427 W 61st St,"Chicago, IL 60629",(708) 272-1408
"$185,000","1,022",3,2,19 E 102nd Pl,"Chicago, IL 60628",(312) 471-0549
"$240,000",700,1,1,643 W Barry Ave Unit 1D,"Chicago, IL 60657",(312) 878-2640
"$499,900","2,304",5,2.5,3423 N Oak Park Ave,"Chicago, IL 60634",(312) 616-5409
"$899,000","2,100",3,3,706 W Schubert Ave Unit B,"Chicago, IL 60614",(312) 878-2640
"$254,900","1,389",5,3,6448 S Talman Ave,"Chicago, IL 60629",(708) 272-1408
"$212,000",996,4,1.5,5332 S Lowe Ave,"Chicago, IL 60609",(312) 818-3878
"$225,000","1,000",1,1,621 S Plymouth Ct #803,"Chicago, IL 60605",(773) 786-9070
"$222,500",999,2,2,1641 W Farwell Ave Unit 2N,"Chicago, IL 60626",(312) 675-4913
"$399,990","1,132",2,2,565 W Quincy St #717,"Chicago, IL 60661",(312) 997-5092
"$215,000","1,100",2,1.5,6534 N Northwest Hwy Unit 1C,"Chicago, IL 60631",(847) 440-3706
"$139,000",700,1,1,4600 N Cumberland Ave. #111,"Chicago, IL 60656",N/A
"$550,000",—,8,3,3537 W Jackson Blvd,"Chicago, IL 60624",(773) 985-8344
"$175,000","1,485",4,2,8340 S Dorchester Ave,"Chicago, IL 60619",(312) 471-0549
"$194,000","1,200",2,2,6047 S Archer Ave Unit 3C,"Chicago, IL 60638",(708) 272-1408
"$499,900","1,450",3,3,1730 S Greenwood Ave,"Park Ridge, IL 60068",(847) 383-9985
"$275,000",—,8,4,4510 S Laflin St,"Chicago, IL 60609",(312) 818-3878
"$1,200,000",—,7,6,2318 N Sacramento Ave,"Chicago, IL 60647",(773) 985-8344
"$775,000","2,340",3,2.5,1542 W School St Unit E,"Chicago, IL 60657",(312) 878-2640
"$924,900","3,200",4,3.5,1706 N Richmond St,"Chicago, IL 60647",(312) 997-5092
"$500,000","2,200",3,2.5,2324 W Argyle St Unit 1W,"Chicago, IL 60625",(312) 878-2640
